team,ishome,week,pts,ptsallowed
NE,1,1,28,21
PIT,0,1,21,28
CHI,1,1,23,31
GB,0,1,31,23
STL,1,1,34,31
SEA,0,1,31,34
JAC,1,1,9,20
CAR,0,1,20,9
WAS,1,1,10,17
MIA,0,1,17,10
BUF,1,1,27,14
IND,0,1,14,27
NYJ,1,1,31,10
CLE,0,1,10,31
HOU,1,1,20,27
KC,0,1,27,20
ARI,1,1,31,19
NO,0,1,19,31
SD,1,1,33,28
DET,0,1,28,33
DEN,1,1,19,13
BAL,0,1,13,19
OAK,1,1,13,33
CIN,0,1,33,13
TB,1,1,14,42
TEN,0,1,42,14
DAL,1,1,27,26
NYG,0,1,26,27
ATL,1,1,26,24
PHI,0,1,24,26
SF,1,1,20,3
MIN,0,1,3,20
KC,1,2,24,31
DEN,0,2,31,24
CAR,1,2,24,17
HOU,0,2,17,24
BUF,1,2,32,40
NE,0,2,40,32
CIN,1,2,24,19
SD,0,2,19,24
CLE,1,2,28,14
TEN,0,2,14,28
NYG,1,2,20,24
ATL,0,2,24,20
WAS,1,2,24,10
STL,0,2,10,24
CHI,1,2,23,48
ARI,0,2,48,23
MIN,1,2,26,16
DET,0,2,16,26
NO,1,2,19,26
TB,0,2,26,19
PIT,1,2,43,18
SF,0,2,18,43
OAK,1,2,37,33
BAL,0,2,33,37
JAC,1,2,23,20
MIA,0,2,20,23
PHI,1,2,10,20
DAL,0,2,20,10
GB,1,2,27,17
SEA,0,2,17,27
IND,1,2,7,20
NYJ,0,2,20,7
NYG,1,3,32,21
WAS,0,3,21,32
DAL,1,3,28,39
ATL,0,3,39,28
CAR,1,3,27,22
NO,0,3,22,27
NYJ,1,3,17,24
PHI,0,3,24,17
HOU,1,3,19,9
TB,0,3,9,19
MIN,1,3,31,14
SD,0,3,14,31
STL,1,3,6,12
PIT,0,3,12,6
NE,1,3,51,17
JAC,0,3,17,51
BAL,1,3,24,28
CIN,0,3,28,24
CLE,1,3,20,27
OAK,0,3,27,20
TEN,1,3,33,35
IND,0,3,35,33
ARI,1,3,47,7
SF,0,3,7,47
SEA,1,3,26,0
CHI,0,3,0,26
MIA,1,3,14,41
BUF,0,3,41,14
DET,1,3,12,24
DEN,0,3,24,12
GB,1,3,38,28
KC,0,3,28,38
PIT,1,4,20,23
BAL,0,4,23,20
MIA,1,4,14,27
NYJ,0,4,27,14
CHI,1,4,22,20
OAK,0,4,20,22
ATL,1,4,48,21
HOU,0,4,21,48
CIN,1,4,36,21
KC,0,4,21,36
IND,1,4,16,13
JAC,0,4,13,16
WAS,1,4,23,20
PHI,0,4,20,23
TB,1,4,23,37
CAR,0,4,37,23
BUF,1,4,10,24
NYG,0,4,24,10
SD,1,4,30,27
CLE,0,4,27,30
SF,1,4,3,17
GB,0,4,17,3
ARI,1,4,22,24
STL,0,4,24,22
DEN,1,4,23,20
MIN,0,4,20,23
NO,1,4,26,20
DAL,0,4,20,26
SEA,1,4,13,10
DET,0,4,10,13
HOU,1,5,20,27
IND,0,5,27,20
PHI,1,5,39,17
NO,0,5,17,39
KC,1,5,17,18
CHI,0,5,18,17
CIN,1,5,27,24
SEA,0,5,24,27
ATL,1,5,25,19
WAS,0,5,19,25
TB,1,5,38,31
JAC,0,5,31,38
BAL,1,5,30,33
CLE,0,5,33,30
TEN,1,5,13,14
BUF,0,5,14,13
GB,1,5,24,10
STL,0,5,10,24
DET,1,5,17,42
ARI,0,5,42,17
DAL,1,5,6,30
NE,0,5,30,6
OAK,1,5,10,16
DEN,0,5,16,10
NYG,1,5,30,27
SF,0,5,27,30
SD,1,5,20,24
PIT,0,5,24,20
NO,1,6,31,21
ATL,0,6,21,31
DET,1,6,37,34
CHI,0,6,34,37
NYJ,1,6,34,20
WAS,0,6,20,34
PIT,1,6,25,13
ARI,0,6,13,25
MIN,1,6,16,10
KC,0,6,10,16
BUF,1,6,21,34
CIN,0,6,34,21
CLE,1,6,23,26
DEN,0,6,26,23
TEN,1,6,10,38
MIA,0,6,38,10
JAC,1,6,20,31
HOU,0,6,31,20
SEA,1,6,23,27
CAR,0,6,27,23
GB,1,6,27,20
SD,0,6,20,27
SF,1,6,25,20
BAL,0,6,20,25
IND,1,6,27,34
NE,0,6,34,27
PHI,1,6,27,7
NYG,0,6,7,27
SF,1,7,3,20
SEA,0,7,20,3
JAC,1,7,34,31
BUF,0,7,31,34
STL,1,7,24,6
CLE,0,7,6,24
MIA,1,7,44,26
HOU,0,7,26,44
NE,1,7,30,23
NYJ,0,7,23,30
KC,1,7,23,13
PIT,0,7,13,23
WAS,1,7,31,30
TB,0,7,30,31
DET,1,7,19,28
MIN,0,7,28,19
IND,1,7,21,27
NO,0,7,27,21
TEN,1,7,7,10
ATL,0,7,10,7
SD,1,7,29,37
OAK,0,7,37,29
NYG,1,7,27,20
DAL,0,7,20,27
CAR,1,7,27,16
PHI,0,7,16,27
ARI,1,7,26,18
BAL,0,7,18,26
NE,1,8,36,7
MIA,0,8,7,36
KC,1,8,45,10
DET,0,8,10,45
BAL,1,8,29,26
SD,0,8,26,29
PIT,1,8,10,16
CIN,0,8,16,10
HOU,1,8,20,6
TEN,0,8,6,20
CHI,1,8,20,23
MIN,0,8,23,20
ATL,1,8,20,23
TB,0,8,23,20
NO,1,8,52,49
NYG,0,8,49,52
STL,1,8,27,6
SF,0,8,6,27
CLE,1,8,20,34
ARI,0,8,34,20
OAK,1,8,34,20
NYJ,0,8,20,34
DAL,1,8,12,13
SEA,0,8,13,12
DEN,1,8,29,10
GB,0,8,10,29
CAR,1,8,29,26
IND,0,8,26,29
CIN,1,9,31,10
CLE,0,9,10,31
MIN,1,9,21,18
STL,0,9,18,21
CAR,1,9,37,29
GB,0,9,29,37
NE,1,9,27,10
WAS,0,9,10,27
NO,1,9,28,34
TEN,0,9,34,28
BUF,1,9,33,17
MIA,0,9,17,33
NYJ,1,9,28,23
JAC,0,9,23,28
PIT,1,9,38,35
OAK,0,9,35,38
TB,1,9,18,32
NYG,0,9,32,18
SF,1,9,17,16
ATL,0,9,16,17
IND,1,9,27,24
DEN,0,9,24,27
DAL,1,9,27,33
PHI,0,9,33,27
SD,1,9,19,22
CHI,0,9,22,19
NYJ,1,10,17,22
BUF,0,10,22,17
WAS,1,10,47,14
NO,0,10,14,47
GB,1,10,16,18
DET,0,10,18,16
TB,1,10,10,6
DAL,0,10,6,10
TEN,1,10,10,27
CAR,0,10,27,10
STL,1,10,13,37
CHI,0,10,37,13
PHI,1,10,19,20
MIA,0,10,20,19
BAL,1,10,20,22
JAC,0,10,22,20
PIT,1,10,30,9
CLE,0,10,9,30
OAK,1,10,14,30
MIN,0,10,30,14
NYG,1,10,26,27
NE,0,10,27,26
DEN,1,10,13,29
KC,0,10,29,13
SEA,1,10,32,39
ARI,0,10,39,32
CIN,1,10,6,10
HOU,0,10,10,6
JAC,1,11,19,13
TEN,0,11,13,19
CHI,1,11,15,17
DEN,0,11,17,15
DET,1,11,18,13
OAK,0,11,13,18
ATL,1,11,21,24
IND,0,11,24,21
HOU,1,11,24,17
NYJ,0,11,17,24
PHI,1,11,17,45
TB,0,11,45,17
MIN,1,11,13,30
GB,0,11,30,13
CAR,1,11,44,16
WAS,0,11,16,44
MIA,1,11,14,24
DAL,0,11,24,14
BAL,1,11,16,13
STL,0,11,13,16
ARI,1,11,34,31
CIN,0,11,31,34
SEA,1,11,29,13
SF,0,11,13,29
SD,1,11,3,33
KC,0,11,33,3
NE,1,11,20,13
BUF,0,11,13,20
DET,1,12,45,14
PHI,0,12,14,45
DAL,1,12,14,33
CAR,0,12,33,14
GB,1,12,13,17
CHI,0,12,17,13
WAS,1,12,20,14
NYG,0,12,14,20
ATL,1,12,10,20
MIN,0,12,20,10
CIN,1,12,31,7
STL,0,12,7,31
HOU,1,12,24,6
NO,0,12,6,24
IND,1,12,25,12
TB,0,12,12,25
NYJ,1,12,38,20
MIA,0,12,20,38
JAC,1,12,25,31
SD,0,12,31,25
TEN,1,12,21,24
OAK,0,12,24,21
KC,1,12,30,22
BUF,0,12,22,30
SF,1,12,13,19
ARI,0,12,19,13
SEA,1,12,39,30
PIT,0,12,30,39
DEN,1,12,30,24
NE,0,12,24,30
CLE,1,12,27,33
BAL,0,12,33,27
DET,1,13,23,27
GB,0,13,27,23
NYG,1,13,20,23
NYJ,0,13,23,20
BUF,1,13,30,21
HOU,0,13,21,30
MIA,1,13,15,13
BAL,0,13,13,15
CLE,1,13,3,37
CIN,0,13,37,3
TEN,1,13,42,39
JAC,0,13,39,42
CHI,1,13,20,26
SF,0,13,26,20
MIN,1,13,7,38
SEA,0,13,38,7
NO,1,13,38,41
CAR,0,13,41,38
TB,1,13,23,19
ATL,0,13,19,23
STL,1,13,3,27
ARI,0,13,27,3
OAK,1,13,20,34
KC,0,13,34,20
SD,1,13,3,17
DEN,0,13,17,3
NE,1,13,28,35
PHI,0,13,35,28
PIT,1,13,45,10
IND,0,13,10,45
WAS,1,13,16,19
DAL,0,13,19,16
